# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
buskoa | busko o→a | Tailor | A person who makes or alters clothing; a tailor. [Concrete Noun -> Biological Noun (handler)] Senses: 1) tailor; 2) dressmaker
cafia | cafi i→a | Runner | A person who runs; a runner. [Verb -> Biological Noun (doer)] Senses: 1) runner
cenia | ceni i→a | Dweller | A person who lives; a dweller. [Verb -> Biological Noun (doer)] Senses: 1) dweller
cetofia | cetofi i→a | Presenter | A person who shows; a presenter. [Verb -> Biological Noun (doer)] Senses: 1) presenter
cigea | cige e→a | Foreigner | A person from another country; a foreigner, outsider. [Modifier -> Biological Noun (characterized person)] Senses: 1) foreigner; 2) outsider
cimia | cimi i→a | Initiator | A person who starts; an initiator. [Verb -> Biological Noun (doer)] Senses: 1) initiator
coqynia | coqyni i→a | Deactivator | A person who turn offs; a deactivator. [Verb -> Biological Noun (doer)] Senses: 1) deactivator
cotia | coti i→a | Cutter | A person who cuts; a cutter. [Verb -> Biological Noun (doer)] Senses: 1) cutter
cukia | cuki i→a | Fighter | A person who fights; a fighter. [Verb -> Biological Noun (doer)] Senses: 1) fighter
cyria | cyri i→a | Flyer | A person who flies; a flyer. [Verb -> Biological Noun (doer)] Senses: 1) flyer
cysmoa | cysmo o→a | Villager | A person who lives in a village; a villager. [Concrete Noun -> Biological Noun (handler)] Senses: 1) villager
dadukrua | dadukru u→a | Specialist / Expert | A person expert in a specialized field. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) specialist; 2) expert
dagibia | dagibi i→a | Presumer | A person who assumes; a presumer. [Verb -> Biological Noun (doer)] Senses: 1) presumer
dangua | dangu u→a | a person on vacation | A person on vacation; a vacationer or holidaymaker. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) a person on vacation
denkia | denki i→a | Setter | A person who sets; a setter. [Verb -> Biological Noun (doer)] Senses: 1) setter
dogia | dogi i→a | Enabler | A person who lets; an enabler. [Verb -> Biological Noun (doer)] Senses: 1) enabler
dormia | dormi i→a | Swimmer | A person who swims; a swimmer. [Verb -> Biological Noun (doer)] Senses: 1) swimmer
drekoa | dreko o→a | Stonemason | A person who works stone; a stonemason. [Concrete Noun -> Biological Noun (handler)] Senses: 1) stonemason; 2) mason
drijia | driji i→a | Climber | A person who climbs; a climber. [Verb -> Biological Noun (doer)] Senses: 1) climber
drulsia | drulsi i→a | Switcher | A person who switches; a switcher. [Verb -> Biological Noun (doer)] Senses: 1) switcher
duxilia | duxili i→a | Attacker | One who attacks; an assailant. [Verb -> Biological Noun (doer)] Senses: 1) attacker; 2) assailant
dzefia | dzefi i→a | Accepter | A person who agrees; an accepter. [Verb -> Biological Noun (doer)] Senses: 1) accepter
dzocoa | dzoco o→a | Potter | A person who makes pottery; a potter. [Concrete Noun -> Biological Noun (handler)] Senses: 1) potter
ebmeria | ebmeri i→a | Rememberer | A person who remembers; a rememberer. [Verb -> Biological Noun (doer)] Senses: 1) rememberer
ebnesia | ebnesi i→a | Forgetter | A person who forgets; a forgetter. [Verb -> Biological Noun (doer)] Senses: 1) forgetter
ebzikia | ebziki i→a | Recognizer | A person who recognizes; a recognizer. [Verb -> Biological Noun (doer)] Senses: 1) recognizer
ednua | ednu u→a | Cleric / Priest | A person devoted to a faith; a cleric, priest. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) cleric; 2) priest
edoraria | edorari i→a | Deep-frier | A person who deep fries; a deep-frier. [Verb -> Biological Noun (doer)] Senses: 1) deep-frier
efmia | efmi i→a | Thief | One who steals. [Verb -> Biological Agent] Senses: 1) thief; 2) robber; 3) burglar
eipia | eipi i→a | Ripper | A person who tears; a ripper. [Verb -> Biological Noun (doer)] Senses: 1) ripper
eksaplia | eksapli i→a | Explainer | A person who explains; an explainer. [Verb -> Biological Noun (doer)] Senses: 1) explainer
emitia | emiti i→a | Follower | A person who follows; a follower. [Verb -> Biological Noun (doer)] Senses: 1) follower
enconia | enconi i→a | Meeter | A person who meets; a meeter. [Verb -> Biological Noun (doer)] Senses: 1) meeter
enria | enri i→a | Entrant | A person who go insides; an entrant. [Verb -> Biological Noun (doer)] Senses: 1) entrant
epzia | epzi i→a | Polisher | A person who polishes; a polisher. [Verb -> Biological Noun (doer)] Senses: 1) polisher
erfia | erfi i→a | Comprehender | A person who understands; a comprehender. [Verb -> Biological Noun (doer)] Senses: 1) comprehender
erua | eru u→a | Soldier | A person characterized by or engaged in war. [Abstract Noun -> Biological Agent (associated with)] Senses: 1) soldier; 2) warrior; 3) fighter
etypia | etypi i→a | Obtainer | A person who gets; an obtainer. [Verb -> Biological Noun (doer)] Senses: 1) obtainer
fabia | fabi i→a | Desirer | A person who wants; a desirer. [Verb -> Biological Noun (doer)] Senses: 1) desirer
falazia | falazi i→a | Recorder | A person who journals; a recorder. [Verb -> Biological Noun (doer)] Senses: 1) recorder
falmia | falmi i→a | Reporter | A person who reports; a reporter. [Verb -> Biological Noun (doer)] Senses: 1) reporter
fanzia | fanzi i→a | Introducer | A person who introduces; an introducer. [Verb -> Biological Noun (doer)] Senses: 1) introducer
fasidia | fasidi i→a | Includer | A person who includes; an includer. [Verb -> Biological Noun (doer)] Senses: 1) includer
fatlia | fatli i→a | Dependent | A person who depend ons; a dependent. [Verb -> Biological Noun (doer)] Senses: 1) dependent
fatoa | fato o→a | Mechanic | A person who works on machines; a mechanic. [Concrete Noun -> Biological Noun (handler)] Senses: 1) mechanic; 2) machinist
fehedia | fehedi i→a | divorced person | A person who divorces; a divorced person. [Verb -> Biological Noun (doer)] Senses: 1) divorced person
fenutia | fenuti i→a | Teller | A person who tells; a teller. [Verb -> Biological Noun (doer)] Senses: 1) teller
fewia | fewi i→a | Mixer | A person who mixes; a mixer. [Verb -> Biological Noun (doer)] Senses: 1) mixer
fexrukua | fexruku u→a | Staff member | A person who is part of the staff; an employee. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) staff member; 2) employee
fihia | fihi i→a | Revealer | A person who exposes; a revealer. [Verb -> Biological Noun (doer)] Senses: 1) revealer
fodia | fodi i→a | Processor | A person who processes; a processor. [Verb -> Biological Noun (doer)] Senses: 1) processor
fofuploa | fofuplo o→a | Harbor hand | A person who works in a bay or harbor. [Concrete Noun -> Biological Noun (handler)] Senses: 1) harbor hand; 2) bay worker
foisoia | foiso o→i→a | Builder / Constructor | The biological agent who builds or constructs (from foiso, building, via foisoi, to build). [Concrete Noun -> Verb -> Biological Noun (doer)] Senses: 1) builder; 2) constructor
fomentua | fomentu u→a | Producer / Manufacturer | One who produces goods at scale. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) producer; 2) manufacturer
foxipria | foxipri i→a | Fader | A person who fades; a fader. [Verb -> Biological Noun (doer)] Senses: 1) fader
fualia | fuali i→a | Catcher | A person who catches; a catcher. [Verb -> Biological Noun (doer)] Senses: 1) catcher
fuegoa | fuego o→a | Firefighter | A person who fights fires; a firefighter. [Concrete Noun -> Biological Noun (handler)] Senses: 1) firefighter
fuqedia | fuqedi i→a | Demander | A person who demands; a demander. [Verb -> Biological Noun (doer)] Senses: 1) demander
fuzia | fuzi i→a | Supporter | A person who supports; a supporter. [Verb -> Biological Noun (doer)] Senses: 1) supporter
fycisia | fycisi i→a | Yearner | A person who misses; a yearner. [Verb -> Biological Noun (doer)] Senses: 1) yearner
gakijia | gakiji i→a | Guesser | A person who guesses; a guesser. [Verb -> Biological Noun (doer)] Senses: 1) guesser
garia | gari i→a | Player | One who plays a game, sport, or instrument. [Verb -> Biological Agent] Senses: 1) player; 2) gamer; 3) participant
gefria | gefri i→a | Exiter | A person who go outs; an exiter. [Verb -> Biological Noun (doer)] Senses: 1) exiter
gejedoa | gejedo o→a | Electrician | A person who works with electricity; an electrician. [Concrete Noun -> Biological Noun (handler)] Senses: 1) electrician
gesia | gesi i→a | Speaker | A person who says; a speaker. [Verb -> Biological Noun (doer)] Senses: 1) speaker
gidafia | gidafi i→a | Seller | A person who sells; a seller. [Verb -> Biological Noun (doer)] Senses: 1) seller
gidsia | gidsi i→a | Buyer / Customer | One who buys; the person purchasing. [Verb -> Biological Agent] Senses: 1) buyer; 2) customer; 3) shopper; 4) purchaser
gikosoa | gikoso o→a | Coastal worker | A person who works along the coast, such as a coast guard. [Concrete Noun -> Biological Noun (handler)] Senses: 1) coastal worker; 2) coast guard
givia | givi i→a | Digger | A person who digs; a digger. [Verb -> Biological Noun (doer)] Senses: 1) digger
glozitia | gloziti i→a | Shooter | One who shoots. [Verb -> Biological Noun (doer)] Senses: 1) shooter; 2) gunman
glyntoa | glynto o→a | Archer | A person who shoots a bow; an archer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) archer
glyvia | glyvi i→a | Defender | A person who defends; a defender. [Verb -> Biological Noun (doer)] Senses: 1) defender
gofoa | gofo o→a | Carpenter | A person who works wood; a carpenter. [Concrete Noun -> Biological Noun (handler)] Senses: 1) carpenter; 2) woodworker
gojia | goji i→a | Puller | A person who pulls; a puller. [Verb -> Biological Noun (doer)] Senses: 1) puller
golmia | golmi i→a | Reformer | A person who reforms; a reformer. [Verb -> Biological Noun (doer)] Senses: 1) reformer
grawia | grawi i→a | Grateful person | A person who gratefuls; a grateful person. [Verb -> Biological Noun (doer)] Senses: 1) grateful person
grexoa | grexo o→a | Astronomer | A person who studies celestial objects; an astronomer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) astronomer
grunkia | grunki i→a | Hugger | A person who hugs; a hugger. [Verb -> Biological Noun (doer)] Senses: 1) hugger
guamia | guami i→a | Accountant | A person who calculates; an accountant. [Verb -> Biological Noun (doer)] Senses: 1) accountant
gugia | gugi i→a | Stander | A person who stands; a stander. [Verb -> Biological Noun (doer)] Senses: 1) stander
gulipia | gulipi i→a | Downloader | A person who downloads; a downloader. [Verb -> Biological Noun (doer)] Senses: 1) downloader
gunoloa | gunolo o→a | Cliff climber | A person who climbs or guides on cliffs. [Concrete Noun -> Biological Noun (handler)] Senses: 1) cliff climber; 2) cliff guide
gutoia | guto o→i→a | Engineer / Mechanic | The biological agent who engineers or operates tools (from guto, tool, via gutoi, to engineer). [Concrete Noun -> Verb -> Biological Noun (doer)] Senses: 1) engineer; 2) mechanic
hadia | hadi i→a | Respondent | A person who answers; a respondent. [Verb -> Biological Noun (doer)] Senses: 1) respondent
hatzia | hatzi i→a | Laugher | A person who laughs; a laugher. [Verb -> Biological Noun (doer)] Senses: 1) laugher
hautua | hautu u→a | Musician | A person who practices music; a musician. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) musician
hekria | hekri i→a | a person who wears something | A person who wears; an a person who wears something. [Verb -> Biological Noun (doer)] Senses: 1) a person who wears something
hevia | hevi i→a | Forgiver | A person who forgives; a forgiver. [Verb -> Biological Noun (doer)] Senses: 1) forgiver
hicia | hici i→a | Walker | A person who walks; a walker. [Verb -> Biological Noun (doer)] Senses: 1) walker
horulfua | horulfu u→a | Juror | A member of a jury. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) juror; 2) jury member
hujia | huji i→a | Hanger | A person who hangs; a hanger. [Verb -> Biological Noun (doer)] Senses: 1) hanger
ibagia | ibagi i→a | Learner | A person who learns; a learner. [Verb -> Biological Noun (doer)] Senses: 1) learner
ibvia | ibvi i→a | Pourer | A person who pours; a pourer. [Verb -> Biological Noun (doer)] Senses: 1) pourer
ifezia | ifezi i→a | Decider | A person who decides; a decider. [Verb -> Biological Noun (doer)] Senses: 1) decider
ikapia | ikapi i→a | Influencer | A person who influences; an influencer. [Verb -> Biological Noun (doer)] Senses: 1) influencer
ikua | iku u→a | Lawyer | A person who practices law; a lawyer. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) lawyer
ilpia | ilpi i→a | Kneeler | A person who kneels; a kneeler. [Verb -> Biological Noun (doer)] Senses: 1) kneeler
irakia | iraki i→a | Weeper | A person who cries; a weeper. [Verb -> Biological Noun (doer)] Senses: 1) weeper
izlia | izli i→a | Guest / Invitee | The person who is invited; the invited party. [Verb -> Biological Noun (invited party)] Senses: 1) guest; 2) invitee (Usage: The patient reading (the one invited). An agentive reading 'inviter / host' is possible but secondary.)
jahizia | jahizi i→a | spouse / married person | A married individual; a spouse (gender-neutral), i.e. either hazba or sifa. [Verb -> Biological Noun (doer)] Senses: 1) spouse; 2) married person
jamia | jami i→a | Writer | A person who writes; a writer. [Verb -> Biological Noun (doer)] Senses: 1) writer; 2) author
jipria | jipri i→a | Washer | A person who washes; a washer. [Verb -> Biological Noun (doer)] Senses: 1) washer
jofia | jofi i→a | Helper | A person who helps; a helper. [Verb -> Biological Noun (doer)] Senses: 1) helper
jomytia | jomyti i→a | Investor | A person who commits money expecting future gain. [Verb -> Biological Noun (doer)] Senses: 1) investor
jopxia | jopxi i→a | Recipient | A person who receives; a recipient. [Verb -> Biological Noun (doer)] Senses: 1) recipient
juhia | juhi i→a | Worrier | A person who worries; a worrier. [Verb -> Biological Noun (doer)] Senses: 1) worrier
jyjoa | jyjo o→a | Programmer | A person who works with computers; a programmer, IT worker. [Concrete Noun -> Biological Noun (handler)] Senses: 1) programmer; 2) IT worker
jymboa | jymbo o→a | Islander | A person who lives on or tends an island. [Concrete Noun -> Biological Noun (handler)] Senses: 1) islander
jyqia | jyqi i→a | Rejecter | A person who refuses; a rejecter. [Verb -> Biological Noun (doer)] Senses: 1) rejecter
kania | kani i→a | Knower | A person who knows; a knower. [Verb -> Biological Noun (doer)] Senses: 1) knower
karxia | karxi i→a | Discoverer | A person who finds; a discoverer. [Verb -> Biological Noun (doer)] Senses: 1) discoverer
kehulua | kehulu u→a | family member | A person who belongs to a family; a member of a household unit. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) family member
kekusnia | kekusni i→a | Copier | A person who copies; a copier. [Verb -> Biological Noun (doer)] Senses: 1) copier
kiagia | kiagi i→a | Keeper | A person who keeps; a keeper. [Verb -> Biological Noun (doer)] Senses: 1) keeper
kicojoa | kicojo o→a | Jeweler | A person who works with gems and jewelry; a jeweler. [Concrete Noun -> Biological Noun (handler)] Senses: 1) jeweler
kifybia | kifybi i→a | Protester | A person who publicly expresses objection. [Verb -> Biological Noun (doer)] Senses: 1) protester; 2) demonstrator
kilia | kili i→a | Toucher | A person who touches; a toucher. [Verb -> Biological Noun (doer)] Senses: 1) toucher
kimaria | kimari i→a | Killer | A person who kills; a killer. [Verb -> Biological Noun (doer)] Senses: 1) killer
klegowoa | klegowo o→a | Novelist | A writer of novels. [Concrete Noun -> Biological Noun (handler)] Senses: 1) novelist
kokidia | kokidi i→a | Examiner | One who examines or inspects. [Verb -> Biological Noun (doer)] Senses: 1) examiner; 2) inspector
kompua | kompu u→a | Athlete / Competitor | A person who competes in matches; an athlete, competitor. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) athlete; 2) competitor
kopia | kopi i→a | Commander | A person who orders; a commander. [Verb -> Biological Noun (doer)] Senses: 1) commander
krendia | krendi i→a | Sharer | A person who shares; a sharer. [Verb -> Biological Noun (doer)] Senses: 1) sharer
kritria | kritri i→a | Teacher | A person who teaches; a teacher. [Verb -> Biological Noun (doer)] Senses: 1) teacher
kufuglia | kufugli i→a | Traveler | One who travels. [Verb -> Biological Noun (doer)] Senses: 1) traveler; 2) voyager
kujondia | kujondi i→a | Resister | A person who resists; a resister. [Verb -> Biological Noun (doer)] Senses: 1) resister
kupia | kupi i→a | Inquirer | A person who asks; an inquirer. [Verb -> Biological Noun (doer)] Senses: 1) inquirer
kupmia | kupmi i→a | Server / Waiter | One who serves; a person providing service. [Verb -> Biological Agent] Senses: 1) server; 2) waiter; 3) attendant
kuria | kuri i→a | Coward | A person who fears; a coward. [Verb -> Biological Noun (doer)] Senses: 1) coward
kuvysua | kuvysu u→a | Police officer | A member of the police force. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) police officer; 2) officer; 3) cop
kytia | kyti i→a | Admirer | A person who likes; an admirer. [Verb -> Biological Noun (doer)] Senses: 1) admirer
laekia | laeki i→a | Selector | A person who chooses; a selector. [Verb -> Biological Noun (doer)] Senses: 1) selector
lakiroa | lakiro o→a | Photographer | A person who makes pictures or photographs; a photographer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) photographer
lantia | lanti i→a | Adder | A person who adds; an adder. [Verb -> Biological Noun (doer)] Senses: 1) adder
laswitia | laswiti i→a | Representative / Delegate | A person who represents or acts for others. [Verb -> Biological Noun (doer)] Senses: 1) representative; 2) delegate
legudroa | legudro o→a | Soccer player | One who plays soccer; a footballer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) soccer player; 2) footballer
leocia | leoci i→a | Activator | A person who turn ons; an activator. [Verb -> Biological Noun (doer)] Senses: 1) activator
levidzoa | levidzo o→a | Caver | A person who explores or works in caves. [Concrete Noun -> Biological Noun (handler)] Senses: 1) caver; 2) cave explorer
libywua | libywu u→a | Philanthropist | A person who gives generously to those in need. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) philanthropist; 2) charitable person
linia | lini i→a | Causer | A person who causes; a causer. [Verb -> Biological Noun (doer)] Senses: 1) causer
lokia | loki i→a | Reader | A person who reads; a reader. [Verb -> Biological Noun (doer)] Senses: 1) reader
luhacia | luhaci i→a | Healer | A person who treats; a healer. [Verb -> Biological Noun (doer)] Senses: 1) healer
magustua | magustu u→a | Wizard / Magician | A person who practices magic; a wizard, magician. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) wizard; 2) magician; 3) mage
malxia | malxi i→a | Dancer | A person who dances; a dancer. [Verb -> Biological Noun (doer)] Senses: 1) dancer
mobloa | moblo o→a | Driver | A person who drives a vehicle; a driver. [Concrete Noun -> Biological Noun (handler)] Senses: 1) driver
montoa | monto o→a | Mountaineer | A person who climbs or works in the mountains. [Concrete Noun -> Biological Noun (handler)] Senses: 1) mountaineer; 2) mountain guide
moria | mori i→a | Grower | A person who grows; a grower. [Verb -> Biological Noun (doer)] Senses: 1) grower
mua | mu u→a | Ghost / Spirit | A being consisting of soul without body; a disembodied spirit. [Abstract Noun -> Biological Noun (embodiment)] Senses: 1) ghost; 2) spirit; 3) phantom
nacia | naci i→a | Worker | One who works; a laborer. [Verb -> Biological Agent] Senses: 1) worker; 2) laborer; 3) employee
nasboa | nasbo o→a | Pharmacist | A person who prepares and dispenses medicines; a pharmacist. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pharmacist
nekia | neki i→a | Sitter | A person who sits; a sitter. [Verb -> Biological Noun (doer)] Senses: 1) sitter
nikria | nikri i→a | Swallower | A person who swallows; a swallower. [Verb -> Biological Noun (doer)] Senses: 1) swallower
niwia | niwi i→a | Scraper | A person who scrapes; a scraper. [Verb -> Biological Noun (doer)] Senses: 1) scraper
nojapia | nojapi i→a | Observer | A person who watches; an observer. [Verb -> Biological Noun (doer)] Senses: 1) observer
nolfenea | nolfene e→a | Official (person) | A person holding a position of authority. [Modifier -> Biological Noun (characterized person)] Senses: 1) official; 2) officer; 3) functionary
nomia | nomi i→a | Consumer | A person who eats; a consumer. [Verb -> Biological Noun (doer)] Senses: 1) consumer
nunulpia | nunulpi i→a | Collaborator / Partner | One who cooperates with others. [Verb -> Biological Noun (doer)] Senses: 1) collaborator; 2) partner
nyrsia | nyrsi i→a | Carrier | A person who carries; a carrier. [Verb -> Biological Noun (doer)] Senses: 1) carrier
nyxidia | nyxidi i→a | Tenant / Renter | A person who pays to use property owned by another. [Verb -> Biological Noun (doer)] Senses: 1) tenant; 2) renter
ocadua | ocadu u→a | Scientist | A person who practices science; a scientist. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) scientist
olifua | olifu u→a | Researcher | A person who conducts research; a researcher. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) researcher
ombia | ombi i→a | Sender | A person who sends; a sender. [Verb -> Biological Noun (doer)] Senses: 1) sender
onasia | onasi i→a | Farmer | One who cultivates land or crops. [Verb -> Biological Agent] Senses: 1) farmer; 2) grower; 3) cultivator
onlia | onli i→a | Rubber | A person who rubs; a rubber. [Verb -> Biological Noun (doer)] Senses: 1) rubber
opcoria | opcori i→a | Stirrer | A person who stirs; a stirrer. [Verb -> Biological Noun (doer)] Senses: 1) stirrer
opdia | opdi i→a | Whisperer | A person who whispers; a whisperer. [Verb -> Biological Noun (doer)] Senses: 1) whisperer
oraria | orari i→a | Stir-frier | A person who stir-fries; a stir-frier. [Verb -> Biological Noun (doer)] Senses: 1) stir-frier
otania | otani i→a | Cook | A person who cooks; a cook. [Verb -> Biological Noun (doer)] Senses: 1) cook
owadia | owadi i→a | Spender | A person who spends; a spender. [Verb -> Biological Noun (doer)] Senses: 1) spender
oxopia | oxopi i→a | Organizer | A person who organizes; an organizer. [Verb -> Biological Noun (doer)] Senses: 1) organizer
oxtia | oxti i→a | Guard / Protector | One who protects or defends. [Verb -> Biological Agent] Senses: 1) guard; 2) protector; 3) defender
ozepia | ozepi i→a | Wisher | A person who wishes; a wisher. [Verb -> Biological Noun (doer)] Senses: 1) wisher
ozoxia | ozoxi i→a | Occupant | A person who occupies; an occupant. [Verb -> Biological Noun (doer)] Senses: 1) occupant
pabicia | pabici i→a | Analyst | One who analyzes. [Verb -> Biological Noun (doer)] Senses: 1) analyst
pagaria | pagari i→a | Payer | A person who pays; a payer. [Verb -> Biological Noun (doer)] Senses: 1) payer
paswua | paswu u→a | Historian | A person who studies history; a historian. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) historian
paulia | pauli i→a | Feeler | A person who feels; a feeler. [Verb -> Biological Noun (doer)] Senses: 1) feeler
pegia | pegi i→a | Folder | A person who folds; a folder. [Verb -> Biological Noun (doer)] Senses: 1) folder
peteswia | peteswi i→a | Spender | A person who pays out money. [Verb -> Biological Noun (doer)] Senses: 1) spender
pijia | piji i→a | Warner | A person who warns; a warner. [Verb -> Biological Noun (doer)] Senses: 1) warner
plia | pli i→a | Arriver | A person who comes; an arriver. [Verb -> Biological Noun (doer)] Senses: 1) arriver
plolsoa | plolso o→a | a person who handles money | A person who handles money; a financier or moneyhandler. [Concrete Noun -> Biological Noun (handler)] Senses: 1) a person who handles money
pozia | pozi i→a | Thinker | A person who thinks; a thinker. [Verb -> Biological Noun (doer)] Senses: 1) thinker
pywia | pywi i→a | Listener | A person who listens; a listener. [Verb -> Biological Noun (doer)] Senses: 1) listener
reslihia | reslihi i→a | Hater | A person who hates; a hater. [Verb -> Biological Noun (doer)] Senses: 1) hater
ricodoa | ricodo o→a | Miner | A person who extracts ore; a miner. [Concrete Noun -> Biological Noun (handler)] Senses: 1) miner
rizia | rizi i→a | Riser | A person who get ups; a riser. [Verb -> Biological Noun (doer)] Senses: 1) riser
rolia | roli i→a | Drinker | A person who drinks; a drinker. [Verb -> Biological Noun (doer)] Senses: 1) drinker
rucemia | rucemi i→a | Leader | A person who leads; a leader. [Verb -> Biological Noun (doer)] Senses: 1) leader
ruwia | ruwi i→a | Twister | A person who twists; a twister. [Verb -> Biological Noun (doer)] Senses: 1) twister
sapia | sapi i→a | Creator | A person who makes; a creator. [Verb -> Biological Noun (doer)] Senses: 1) creator
sapitia | sapiti i→a | Inventor | A person who invents; an inventor. [Verb -> Biological Noun (doer)] Senses: 1) inventor
sarmia | sarmi i→a | Taster | A person who tastes; a taster. [Verb -> Biological Noun (doer)] Senses: 1) taster
satsia | satsi i→a | Striker | A person who hits; a striker. [Verb -> Biological Noun (doer)] Senses: 1) striker
sejia | seji i→a | Stopper | A person who stops; a stopper. [Verb -> Biological Noun (doer)] Senses: 1) stopper
sigia | sigi i→a | Holder | A person who holds; a holder. [Verb -> Biological Noun (doer)] Senses: 1) holder
sioxia | sioxi i→a | Host | A person who holds; a host. [Verb -> Biological Noun (doer)] Senses: 1) host
