# Fiwo Root Dictionary — 1493 entries
# GENERATED from Canon/lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | tier | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Grammar — 88 entries ===
-a | tier 0 · grammar core | Biological Noun Derivation | Derives a biological noun, such as a living organism, plant, animal, or body part.
fos | tier 0 · grammar core | that | Distal deictic; a conceptually distant, prior, or non-current clause or concept.
ha | tier 0 · grammar core | Oh / I see | Indicates sudden realization, acknowledgment, or understanding.
hap | tier 0 · grammar core | Emotional / Subjective | An expression of personal feeling or subjective experience.
hop | tier 0 · grammar core | Sarcastic / Ironic | Sarcastic or ironic intent, explicitly encoded to prevent logical misinterpretation.
hyp | tier 0 · grammar core | Hypothetical / Counterfactual | A pragmatic mood tag placed at the absolute start of a clause to indicate that the following statement is a simulation of a reality that does not exist. It translates the English concepts of "would" or "would have".
jas | tier 0 · grammar core | yes | Affirmation or agreement.
jo | tier 0 · grammar core | Hey / Attention | Sharp exclamation to command immediate attention or warn.
kad | tier 0 · grammar core | Because / For the reason that | A structural wall that introduces an entirely new independent clause (with its own subject and verb) that explains the reason for the previous clause.
kep | tier 0 · grammar core | Factual / Objective | An objective statement, scientific truth, or absolute fact, strictly excluding everyday observations.
kof | tier 0 · grammar core | Furthermore / Moreover / In addition / (not only …) but also | A structural particle used to introduce an additional point, fact, or argument.
kop | tier 0 · grammar core | Command / Imperative | A direct order or command.
kup | tier 0 · grammar core | Question / Request | An explicit inquiry or request for information.
lan | tier 0 · grammar core | Plus / And (Inline Additive) | Binds elements of the same grammatical category. Can be chained for lists of three or more.
mik | tier 0 · grammar core | I / me | First-person singular; the speaker's body and mind.
mis | tier 0 · grammar core | Minus / Subtracted by | This is an immutable mathematical operator used to perform explicit subtraction within a sentence. When placed between two numerical blocks, the parser evaluates the calculation first, unifying them into a single quantitative value before the result looks left to attach to a noun. It can also be used as the subject of a Zero Copula sentence to state a timeless mathematical equation (e.g., raje mis dewe tafe = 5 minus 2 is 3).
muk | tier 0 · grammar core | we / us (inclusive) | First-person plural inclusive; the speaker, the listener, and potentially others.
mux | tier 0 · grammar core | Times / Multiplied by | This is an immutable mathematical operator used to perform explicit multiplication within a sentence. When placed between two numerical blocks, the parser evaluates the calculation first, unifying them into a single quantitative value before the result looks left to attach to a noun. It can also be used as the subject of a Zero Copula sentence to state a timeless mathematical equation (e.g., tafe mux dewe sluqe = 3 times 2 is 6).
nak | tier 0 · grammar core | we / us (exclusive) | First-person plural exclusive; the speaker and others, explicitly excluding the listener.
nel | tier 0 · grammar core | you're welcome | Phatic reply acknowledging thanks; conveys 'you're welcome / no need.' Standalone on the Null Track (Rule 33).
nes | tier 0 · grammar core | no / not | Strict logical operator of negation (boolean NOT); standalone negative interjection.
nop | tier 0 · grammar core | Inferred / Logical Evidence | A pragmatic mood tag indicating the speaker knows the statement is true through logical deduction or physical evidence.
ov | tier 0 · grammar core | oh no | Phatic expressing sympathy, dismay, or concern at bad news; 'oh no / that's awful.' Standalone on the Null Track (Rule 33).
pen | tier 0 · grammar core | so / therefore | Clausal wall introducing a direct result, consequence, or logical conclusion.
pot | tier 0 · grammar core | Decimal Point / Radix | This acts as a structural pivot within a numerical sequence. It explicitly signals to the parser that the whole integers have stopped, and any digits following it are to be read sequentially as fractional values. The parser reads the entire sequence, including the decimal pivot, as a single quantitative block until the final -t stacker is dropped.
pov | tier 0 · grammar core | Meanwhile / At the same time | A structural particle used to introduce an event or action happening concurrently with another.
ram | tier 0 · grammar core | it (inanimate) | Third-person singular inanimate; strictly an object, concept, plant, machine, or entity lacking agency.
ron | tier 0 · grammar core | Or (Inline Alternative) | Inline mathematical boolean OR; offers a choice between elements of the same grammatical category.
rop | tier 0 · grammar core | Reported / Hearsay Evidence | A pragmatic mood tag indicating the speaker knows the statement is true because they were told by someone else or read it somewhere.
rot | tier 0 · grammar core | or | Clausal wall presenting an alternative choice or independent clause.
sal | tier 0 · grammar core | Hello / Greetings | Acknowledges presence or initiates a social interaction.
sek | tier 0 · grammar core | List Separator / Spoken Comma | A structural particle that explicitly separates sequential items in a list or breaks the -t stacker bond between adjacent number blocks. It acts as a phonetic wall, telling the parser to finalize the current item and move to the next. Used for enumerating individual multi-digit numbers (e.g., counting 10, 11, 12) and for listing items without using lan. (Usage: Neutral enumeration, unlike lan, which asserts logical AND.)
sep | tier 0 · grammar core | In sum / In conclusion | A pragmatic mood tag placed at the absolute start of a sentence to introduce a summary or conclusion.
sil | tier 0 · grammar core | this | Proximal deictic; the current or immediately preceding clause or concept.
sop | tier 0 · grammar core | Direct / Sensory Evidence | A pragmatic mood tag indicating the speaker knows the statement is true because they directly experienced it (e.g., saw, heard, or felt it happen).
suk | tier 0 · grammar core | you | Second-person singular; strictly the listener.
suv | tier 0 · grammar core | You (formal/respectful) | The formal second-person singular pronoun used to show respect when addressing elders, authorities, strangers, or in professional contexts. Possessive form: `suve` (your/yours, formal singular). Pluralized with `je`: `suv je` (you all, formal), possessive `suvem je` (your/yours, formal plural).
syn | tier 0 · grammar core | Condition Initiator | Marks a theoretical premise or conditional clause (if/when/whenever).
tel | tier 0 · grammar core | end of subordinate clause / close bracket | Closing bracket finalizing a subordinate or conditional clause. Optional at sentence boundaries (periods), but strictly mandatory mid-sentence or to resolve mirroring/nesting ambiguity.
tep | tier 0 · grammar core | subordinate predicate marker | Opening bracket introducing a subordinate or embedded relative clause. Open brackets are implicitly closed by a period (.) at the end of a sentence.
tex | tier 0 · grammar core | Goodbye / Farewell | Closes a social interaction or indicates departure.
tox | tier 0 · grammar core | cheers | Phatic toast exchanged when drinking together; 'cheers.' Standalone on the Null Track (Rule 33).
vax | tier 0 · grammar core | However / On the other hand | A structural particle used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
vel | tier 0 · grammar core | While / Whereas | Introduces a completely new, independent clause that occurs simultaneously alongside the previous clause, or presents a direct contextual contrast (whereas).
wal | tier 0 · grammar core | why | Interrogative clause variable for a reason or cause.
wat | tier 0 · grammar core | what | Interrogative variable for a thing or matter.
wer | tier 0 · grammar core | where | Interrogative variable for a location.
wiq | tier 0 · grammar core | when | Interrogative variable for time.
wis | tier 0 · grammar core | how | Interrogative variable for the manner, method, or degree of an action or state.
won | tier 0 · grammar core | what (subject) / what thing / what event | Interrogative subject variable for a non-agent — a thing or event filling SVO Slot 1 (e.g. What happened? What fell?). The inanimate counterpart of wun (who).
wox | tier 0 · grammar core | Wow / Awe | An exclamation of positive surprise, wonder, or amazement.
wug | tier 0 · grammar core | How many / How much? (Interrogative) | An interrogative variable specifically holding the place of an unknown numerical quantity or mathematical amount. It sits directly in the SVO slot where the numerical answer is expected.
wun | tier 0 · grammar core | who | Interrogative variable for a person or agent.
xap | tier 0 · grammar core | For example | A pragmatic mood tag placed at the absolute start of a sentence to introduce an example or illustration.
xex | tier 0 · grammar core | haha / laughter | Phatic laughter token conveying amusement; 'haha.' Standalone on the Null Track (Rule 33).
xom | tier 0 · grammar core | In other words / That is to say | A structural particle used to introduce an explanation, clarification, or rephrasing of a previous statement.
zet | tier 0 · grammar core | as for / regarding (topic marker) | Topic marker. Placed at the absolute start of a sentence, it opens a topic phrase ('as for X / regarding X'); the wall 'can' (or 'pen') then closes the topic and hands off to the main clause (Rule 32.5). (Usage: Distinct from the preposition zety ('about'), which bridges mid-sentence.)
zib | tier 0 · grammar core | good evening | Phatic greeting used in the evening; 'good evening.' Standalone on the Null Track (Rule 33).
zol | tier 0 · grammar core | Although / Even though | Introduces a concessive clause; it acts as a structural wall indicating that the fact in this clause makes the information in the next clause surprising, contrasting, or unexpected.

=== Prepositions — 46 entries ===
acry | tier 0 · grammar core | Across | Indicates a spatial bridge mapping movement or position from one side of a surface, boundary, or flat area to the opposite side.
amby | tier 0 · grammar core | Instead of / In place of | Indicating substitution of one entity or action for another.
apawy | tier 0 · grammar core | According to / In accordance with | A structural preposition indicating that an action or state strictly follows the rules, statements, or nature of the target noun.
avly | tier 0 · grammar core | Along | In a line parallel with, or next to the length of a surface or path.
baxy | tier 0 · grammar core | Behind | Indicates a spatial bridge where the subject is located at or directed toward the rear or back of a reference point.
beqy | tier 0 · grammar core | Beyond | Indicates a spatial or logical bridge mapping a position that is strictly past the physical limits, boundary, or scope of the reference point.
by | tier 0 · grammar core | by | Used to indicate agent, means, or source.
cagy | tier 0 · grammar core | for | This word indicates the purpose, destination, or intended recipient of an action or object.
dawy | tier 0 · grammar core | Due to / As a result of / Because of | A structural bridge linking an outcome strictly to the noun that caused it.
deky | tier 0 · grammar core | inside | Used for location within an enclosure.
dury | tier 0 · grammar core | During | Indicates a temporal bridge, mapping an action strictly to the timeframe of an ongoing event or period.
fazy | tier 0 · grammar core | nature of | Indicates abstract characteristics, personality, or intrinsic nature; having the qualities of the object.
fecy | tier 0 · grammar core | Until / Up to | Indicates a temporal or spatial bridge extending continuously up to the absolute limit or termination point of an event or location.
foly | tier 0 · grammar core | After | Indicates that the main action occurs strictly subsequent to the referenced temporal baseline or event.
fy | tier 0 · grammar core | from | Used for origin or starting point
hemy | tier 0 · grammar core | near | Used for close proximity.
igy | tier 0 · grammar core | At the frequency of / Times / Per | Indicates a mathematical bridge linking an action to the exact numerical count of its occurrences.
jany | tier 0 · grammar core | Against | Indicates a bridge of physical contact involving pressure and support, or direct logical opposition/resistance to a concept.
jicy | tier 0 · grammar core | also | Indicates inclusion or mathematical addition, functioning as a bridge meaning in addition to or along with the target object.
jy | tier 0 · grammar core | part of | Indicates the subject is an integral component or piece of the object, such as a body part or machine element.
ky | tier 0 · grammar core | at | Indicates general location, presence, or proximity at a specific point.
mety | tier 0 · grammar core | By means of / Through / Via | Indicates the method, process, tool, or pathway utilized to achieve a specific result or destination. (e.g., I learned it via reading).
moxy | tier 0 · grammar core | Among (them) / Within a group | Indicates a spatial or conceptual bridge where the subject is surrounded by, or included as a distinct part of, a larger defined group or set. (e.g., The apple among the grapes).
my | tier 0 · grammar core | containing | Indicates that the subject is holding the object inside it; specifies content rather than purpose.
neswy | tier 0 · grammar core | Without | Indicates a logical bridge of absence or the explicit lack of an accompanying object or trait.
nizy | tier 0 · grammar core | In front of / Ahead of | Indicates a spatial bridge where the subject is located at or directed toward the forward-facing exterior of a reference point.
noky | tier 0 · grammar core | down / below | Used for direction or position lower than a reference.
pary | tier 0 · grammar core | before | Indicates that the main action must conclude strictly prior to the referenced temporal baseline or event.
piny | tier 0 · grammar core | as / similar to | This word indicates that one thing resembles another or shares common characteristics without being identical.
pudy | tier 0 · grammar core | Since | Indicating the starting point of a period of time that continues to the present (temporal).
rewy | tier 0 · grammar core | far | Situated at a great distance from; far away relative to a reference point.
ry | tier 0 · grammar core | owned by | Indicates strict ownership, legal possession, or belonging.
sacy | tier 0 · grammar core | outside | Used for a position external to the boundaries of an enclosure or object.
sesny | tier 0 · grammar core | Despite / In spite of | Indicating that an action or state occurs regardless of an obstacle or opposing force.
swozy | tier 0 · grammar core | Except / Excluding | Indicating that the specified entity is not included in the statement.
taly | tier 0 · grammar core | compared to / than | Used to establish a structural bridge between a modified subject or action and the baseline it is being measured against.
tody | tier 0 · grammar core | up / above | Used for direction or position higher than a reference.
ty | tier 0 · grammar core | on | Indicates physical contact with and support by a surface.
usy | tier 0 · grammar core | at the sequence of / ranking | This preposition indicates the ordinal position or sequence of a noun within a series.
vy | tier 0 · grammar core | made of | Indicates the physical substance or material composition of the subject.
wy | tier 0 · grammar core | with | Used for accompaniment or instrumentality.
xy | tier 0 · grammar core | shaped like | Indicates that the subject shares the physical geometry or outline of the object, but not necessarily its material or function.
zety | tier 0 · grammar core | about | Concerning, regarding, or strictly relating to the subject of a specific topic.
zofy | tier 0 · grammar core | Through | Indicates a spatial bridge where the subject enters one side of an environment, medium, or enclosure and exits the other.
zory | tier 0 · grammar core | Between | Indicates a spatial or logical bridge placing the subject directly in the interval that separates two distinct entities.
zy | tier 0 · grammar core | to | Used for direction toward a destination or outcome.

=== Biological Noun — 195 entries ===
acina | tier 3 · long tail | Claw | This word identifies a sharp, curved, horny nail situated on the digit of an animal's foot, used for gripping or tearing.
apla | tier 2 · extended | Apple | The fleshy, round fruit of a specific widely cultivated tree, typically possessing a red or green skin and a crisp interior.
arteta | tier 1 · core | Fruit | This identifies the fleshy, edible product of a tree or plant that naturally contains seeds and is consumed as food.
bahara | tier 3 · long tail | Palm. | The inner, flat surface of the hand, between the wrist and the fingers.
bata | tier 1 · core | Food / Meal | Any organic, nutritious matter consumed or absorbed by a living organism to sustain life and growth.
bela | tier 1 · core | Foot. | This identifies the lower extremity of the leg below the ankle, on which a person stands or walks.
biba | tier 1 · core | Baby / Infant | A very young human child, particularly one who has not yet learned to walk or talk.
blogaca | tier 3 · long tail | Germ | A tiny organism that causes disease.
bofama | tier 3 · long tail | Wrist. | The joint connecting the hand to the forearm.
boja | tier 1 · core | Blood. | This identifies the red liquid that circulates in the arteries and veins of humans and other vertebrate animals.
branda | tier 3 · long tail | Panda. | A large black-and-white bear native to bamboo forests.
brekra | tier 3 · long tail | Forehead. | The upper front part of the face, above the eyebrows and below the hairline.
brempa | tier 3 · long tail | Elbow. | The joint connecting the upper arm to the forearm.
buva | tier 3 · long tail | Cow / Bovine | This identifies a large domesticated ungulate kept primarily as livestock for the production of meat or milk.
cada | tier 1 · core | Child | This word refers strictly to a human being in the biological stage of life between birth and puberty. (Usage: Distinct from jepa (offspring), which maps the relational link to a parent.)
caqla | tier 2 · extended | Boy / Male Child | This refers strictly to a young male human who has not yet reached adulthood.
casla | tier 2 · extended | Girl / Female Child | This refers strictly to a young female human who has not yet reached adulthood.
catsa | tier 1 · core | Cat | This refers to a small, domesticated carnivorous mammal, widely kept as a companion animal.
cila | tier 2 · extended | Leaf | This identifies the flattened, usually green structure of a plant attached to a stem.
corfa | tier 3 · long tail | Monkey / Ape | A primate, typically having a tail and living in trees in tropical regions.
cosa | tier 1 · core | Skin | This refers to the thin layer of tissue forming the natural outer covering of the body.
cowaba | tier 3 · long tail | Donkey. | A domesticated pack animal related to the horse, smaller and long-eared.
cuaca | tier 3 · long tail | Bear | A large, heavy mammal with thick fur and a very short tail.
cudza | tier 2 · extended | Wolf. | A large wild canine that hunts in packs.
cuskama | tier 2 · extended | Devil | A malevolent supernatural being; a demon.
cyva | tier 3 · long tail | Stranger | A person who is unknown to the speaker; someone with whom one has no prior acquaintance or familiarity.
dafa | tier 1 · core | Stomach | This word refers to the internal muscular organ in which the first major part of the physical digestion of food occurs.
dedapa | tier 3 · long tail | Thumb. | The short, thick first digit of the hand, opposable to the other four fingers.
deta | tier 1 · core | Dog | This refers to a domesticated, carnivorous land-dwelling animal, typically kept as a companion or for work.
dixa | tier 3 · long tail | Shark | A large, carnivorous fish with a cartilaginous skeleton and multiple rows of teeth.
dizaba | tier 3 · long tail | Skeleton | The complete connected frame of bones (meka) that supports a body; also the animated bone-creature of folklore.
donava | tier 3 · long tail | Refugee | A person forced to flee their homeland for safety.
dorala | tier 1 · core | Back (Anatomy) | This refers to the rear surface of a human body from the shoulders to the hips, or the equivalent upper structural surface of an animal.
duluxra | tier 3 · long tail | Immigrant | A person who moves into a country to settle.
dysa | tier 3 · long tail | Tongue | This refers to the fleshy muscular organ in the mouth used for tasting, licking, swallowing, and speaking.
dzupaka | tier 3 · long tail | Ruler / Sovereign / Monarch | A person who holds sovereign authority over a state; king = + aqe, queen = + ase.
dzypra | tier 3 · long tail | Nut. | A hard-shelled edible seed or fruit kernel, eaten as food or used in cooking.
eava | tier 3 · long tail | Snake | A long, legless, carnivorous reptile of the suborder Serpentes.
ebga | tier 3 · long tail | Twig | A very small, thin terminal branch of a tree or shrub.
elsa | tier 3 · long tail | Bee | A stinging, winged insect known for its role in pollination and producing honey.
faga | tier 2 · extended | Cousin (gender-neutral) | A gender-neutral biological relative who is the child of one's parent's sibling.
farlopa | tier 1 · core | Doctor / Medical Healer | This refers to a person who practices medicine and restores systemic well-being.
fexresa | tier 2 · extended | Victim | A person harmed by a crime or event.
fija | tier 1 · core | Ear | The biological organ responsible for the perception of sound.
firfa | tier 3 · long tail | Rose | A thorned flowering shrub; the iconic garden flower.
fota | tier 3 · long tail | Root. | This identifies the part of a plant that attaches it to the ground and absorbs water and nourishment.
franka | tier 3 · long tail | Armadillo. | A burrowing mammal covered in bony armored plates, able to curl into a ball for defense.
frelka | tier 3 · long tail | Mangrove. | A tree or shrub that grows in coastal saltwater swamps, supported by tangled above-ground roots.
frilta | tier 3 · long tail | Rabbit. | A small, long-eared mammal known for speed and burrowing.
frisma | tier 3 · long tail | Rib. | One of the curved bones forming the cage that protects the chest cavity.
fuba | tier 1 · core | Fish | This identifies a cold-blooded vertebrate animal with gills and fins that lives strictly and entirely in water.
fuka | tier 1 · core | Hand | This identifies the end part of a person's arm beyond the wrist, including the palm, fingers, and thumb.
furna | tier 3 · long tail | Fur | This word describes the dense coat of short, fine, soft hair on certain mammals, explicitly functioning as biological insulation. (Usage: Distinct from poka, the broader word for hair.)
gaha | tier 3 · long tail | Cocoa | The tropical tree seed from which chocolate is made; also the ground brown powder of that seed.
gekafa | tier 3 · long tail | Vine | A plant with long, thin, climbing or trailing stems that attach to surfaces or other plants for support.
genda | tier 3 · long tail | Camel. | A large desert mammal with one or two humps, adapted to carry loads across arid terrain.
glimada | tier 3 · long tail | Salmon | A large silvery fish that swims upriver from the sea to breed; prized as food.
goda | tier 3 · long tail | Brain | This word identifies the central organ of the nervous system located inside the head, responsible for physically processing sensory and intellectual activity.
grapa | tier 3 · long tail | Grape | A small, sweet biological berry that naturally grows in clusters on a vine.
guza | tier 2 · extended | Enemy | A person who is actively hostile toward, or bears deep ill will against, another; an adversary in a personal, social, or political conflict.
gydza | tier 3 · long tail | Fox. | A small, cunning wild canine with a bushy tail.
hazba | tier 2 · extended | Husband | This refers to a male spouse within a marital partnership.
hezeska | tier 3 · long tail | Parrot | A brightly colored tropical bird with a curved beak, able to mimic speech.
hobcada | tier 3 · long tail | Grandchild | A gender-neutral biological relative who is the child of one's child.
hobcaqla | tier 3 · long tail | Grandson | A male biological relative who is the male child of one's child.
hobcasla | tier 3 · long tail | Granddaughter | A female biological relative who is the female child of one's child.
horba | tier 3 · long tail | Horn | This word refers to a hard, permanent bony outgrowth—often curved and pointed—found on the heads of certain animals for defense or competition.
hoswa | tier 3 · long tail | Bamboo. | A fast-growing woody grass with hollow, segmented stems.
hulka | tier 3 · long tail | Llama. | A domesticated pack animal related to the camel, with a long neck and woolly coat.
huqa | tier 3 · long tail | Shoulder | The joint connecting the arm or forelimb with the torso.
hylsa | tier 3 · long tail | Lip. | One of the two soft fleshy edges forming the opening of the mouth (ylxa); used in speech and eating.
ibalira | tier 1 · core | Teacher / Educator | This refers to a person who gives systematic instruction and provides knowledge.
iega | tier 3 · long tail | Lion / Tiger | A large, carnivorous feline mammal.
ijyra | tier 3 · long tail | Tail | This word refers to the distinct, flexible appendage extending from the rear end of an animal's body.
ilada | tier 3 · long tail | Reptile | This identifies a cold-blooded, typically land-dwelling biological class characterized by scales and, often, a lack of limbs.
ipka | tier 2 · extended | Spider | An eight-legged predatory arachnid that spins webs to catch prey.
iraksa | tier 3 · long tail | Tear / Teardrop | The physical, saline liquid produced and shed by the eyes.
irta | tier 1 · core | Egg | This word identifies the round or oval biological reproductive body laid by the females of many animals, containing the developing embryo.
ixpa | tier 3 · long tail | Fungus / Mushroom | An organism (such as a mushroom or mold) that feeds on organic matter and lacks chlorophyll.
jepa | tier 3 · long tail | Offspring | This refers to the immediate descendant produced by the reproduction of a living organism.
jiqa | tier 2 · extended | Sibling's child / Niece or Nephew (gender-neutral) | A gender-neutral biological relative who is the child of one's sibling.
juma | tier 3 · long tail | Rival | A person who competes against another for the same objective, status, or superiority; a personal or ongoing competitor.
kaba | tier 1 · core | Horse | This refers to a large, solid-hoofed herbivorous mammal, traditionally utilized by humans for riding or draft work.
kagaxa | tier 3 · long tail | Axolotl. | A salamander that retains its aquatic larval features throughout its life, native to freshwater lakes.
kegla | tier 1 · core | Grass. | A low, dense-growing plant with narrow leaves, typically covering lawns and fields. Follows nasa (plant) as a specific plant type.
kifra | tier 3 · long tail | Cherry tree. | A tree bearing small round stone-fruit, known for its blossoms.
kika | tier 2 · extended | Chicken / Fowl | A common domesticated biological bird, typically kept for its eggs or meat.
kremba | tier 3 · long tail | pet | A tame animal kept for companionship or pleasure rather than for work or food.
kryska | tier 3 · long tail | Waist. | The narrow middle part of the torso, between the ribs and the hips.
kunawa | tier 3 · long tail | Orchid | A flowering plant with showy, intricately shaped blooms, prized for its beauty.
kyfa | tier 1 · core | Bird. | This refers to a flying animal, typically characterized by feathers and wings.
kyrana | tier 3 · long tail | Feather | This word refers to any of the flat, specialized epidermal structures that grow from a bird's skin to form its plumage.
lebla | tier 3 · long tail | Goat. | A horned farm mammal, raised for milk, meat, and hide.
leha | tier 3 · long tail | Fern | A feathery-leaved, shade-loving plant that reproduces by spores.
lenawa | tier 3 · long tail | Cactus | A thick-stemmed desert plant covered in spines, storing water in its flesh.
lexogla | tier 3 · long tail | Mule | The sturdy offspring of a donkey (cowaba) and a horse (kaba), bred to carry loads.
lica | tier 2 · extended | Colleague | A person with whom one works in the same organisation, profession, or shared endeavour; a co-worker or professional peer.
logega | tier 3 · long tail | Throat | This word identifies the internal muscular passage extending from the back of the mouth down toward the lungs and stomach.
lurubra | tier 2 · extended | Witness | A person who saw an event and can report what happened.
luvisma | tier 3 · long tail | Wound | An injury site where the body is cut or broken open (distinct from pamu, the pain).
lylta | tier 3 · long tail | Lichen | A slow-growing composite organism (fungus plus alga) that crusts rocks and trees.
mana | tier 1 · core | Mother | This refers to the female parent of a biological offspring.
maoba | tier 1 · core | Heart | The physical, biological muscle organ that pumps blood through the circulatory system of an organism.
mapa | tier 1 · core | Finger. | This identifies each of the long, slender members attached to the hand.
mavaha | tier 3 · long tail | Wheat | A cereal grass whose grain is ground into flour for bread; a global staple crop. Follows vyfla (rice) as a specific staple.
mazutsa | tier 3 · long tail | Monster | A large, frightening creature of imagination or legend, typically hostile to humans.
meka | tier 3 · long tail | Bone | This refers to any of the pieces of hard, whitish tissue making up the skeleton in humans and other vertebrates.
meota | tier 1 · core | Head. | This identifies the upper part of the human body containing the brain, eyes, ears, nose, and mouth.
mezuna | tier 3 · long tail | Shell | This word refers to the hard, protective outer organic layer or exoskeleton naturally secreted and worn by certain animals, such as turtles or mollusks.
midora | tier 3 · long tail | Watermelon | A large, heavy biological fruit characterized by a hard green rind and sweet, watery red flesh.
mifa | tier 1 · core | Animal. | This identifies a living organism that is specifically a land-dwelling beast.
minza | tier 2 · extended | Nationality / Ethnic Group | A biological and cultural grouping of people sharing common descent, history, or language.
mita | tier 1 · core | Meat. | This refers to the flesh of an animal used as food.
moda | tier 2 · extended | God | This refers to a supreme being, divine creator, or principal object of faith and worship.
mortsa | tier 2 · extended | Forest / Woods | A dense biological collection or large group of trees growing together in a specific area.
mosa | tier 1 · core | Tree | This identifies a large plant, typically having a single stem or trunk growing to a considerable height.
mula | tier 1 · core | Flower. | This refers to the seed-bearing part of a plant, consisting of reproductive organs and colorful petals.
myga | tier 1 · core | Leg. | This refers to each of the limbs on which a person or animal walks and stands.
myrafa | tier 3 · long tail | Dragon | A legendary giant reptile with wings and claws, often depicted breathing fire.
nasa | tier 2 · extended | Plant. | This refers to a living organism of the kind exemplified by trees, shrubs, and herbs.
nauxa | tier 1 · core | Friend. | This refers to a person whom one knows and with whom one has a bond of mutual affection.
netawa | tier 3 · long tail | Cornflower | A slender wildflower with an intensely blue head, once common in grain fields.
niaza | tier 3 · long tail | Muscle | This word identifies a band or bundle of fibrous tissue in a biological body that has the mechanical ability to contract, producing movement or maintaining position.
nofa | tier 1 · core | Person / Human / People | This refers to a human being, individual, or member of the human species.
noja | tier 1 · core | Eye. | This identifies the organ of sight in humans and animals.
